Time_index,TX_NG,TX_coal,TX_oil,Nuclear
440,2.88,2.79,11.88,0.71
441,2.88,2.79,11.88,0.71
442,2.88,2.79,11.88,0.71
443,2.88,2.79,11.88,0.71
444,2.88,2.79,11.88,0.71
445,2.88,2.79,11.88,0.71
446,2.88,2.79,11.88,0.71
447,2.88,2.79,11.88,0.71
448,2.88,2.79,11.88,0.71
449,2.88,2.79,11.88,0.71
450,2.88,2.79,11.88,0.71
451,2.88,2.79,11.88,0.71
452,2.88,2.79,11.88,0.71
453,2.88,2.79,11.88,0.71
454,2.88,2.79,11.88,0.71
455,2.88,2.79,11.88,0.71
456,2.88,2.79,11.88,0.71
457,2.88,2.79,11.88,0.71
458,2.88,2.79,11.88,0.71
459,2.88,2.79,11.88,0.71
460,2.88,2.79,11.88,0.71
461,2.88,2.79,11.88,0.71
462,2.88,2.79,11.88,0.71
463,2.88,2.79,11.88,0.71
464,2.88,2.79,11.88,0.71
465,2.88,2.79,11.88,0.71
466,2.88,2.79,11.88,0.71
467,2.88,2.79,11.88,0.71
468,2.88,2.79,11.88,0.71
469,2.88,2.79,11.88,0.71
470,2.88,2.79,11.88,0.71
471,2.88,2.79,11.88,0.71
472,2.88,2.79,11.88,0.71
473,2.88,2.79,11.88,0.71
474,2.88,2.79,11.88,0.71
475,2.88,2.79,11.88,0.71
476,2.88,2.79,11.88,0.71
477,2.88,2.79,11.88,0.71
478,2.88,2.79,11.88,0.71
479,2.88,2.79,11.88,0.71
480,2.88,2.79,11.88,0.71
481,2.88,2.79,11.88,0.71
482,2.88,2.79,11.88,0.71
483,2.88,2.79,11.88,0.71
484,2.88,2.79,11.88,0.71
485,2.88,2.79,11.88,0.71
486,2.88,2.79,11.88,0.71
487,2.88,2.79,11.88,0.71
488,2.88,2.79,11.88,0.71
489,2.88,2.79,11.88,0.71
490,2.88,2.79,11.88,0.71
491,2.88,2.79,11.88,0.71
492,2.88,2.79,11.88,0.71
493,2.88,2.79,11.88,0.71
494,2.88,2.79,11.88,0.71
495,2.88,2.79,11.88,0.71
496,2.88,2.79,11.88,0.71
497,2.88,2.79,11.88,0.71
498,2.88,2.79,11.88,0.71
499,2.88,2.79,11.88,0.71
500,2.88,2.79,11.88,0.71
501,2.88,2.79,11.88,0.71
502,2.88,2.79,11.88,0.71
503,2.88,2.79,11.88,0.71
504,2.88,2.79,11.88,0.71
505,2.88,2.79,11.88,0.71
506,2.88,2.79,11.88,0.71
507,2.88,2.79,11.88,0.71
508,2.88,2.79,11.88,0.71
509,2.88,2.79,11.88,0.71
510,2.88,2.79,11.88,0.71
511,2.88,2.79,11.88,0.71
512,2.88,2.79,11.88,0.71
513,2.88,2.79,11.88,0.71
514,2.88,2.79,11.88,0.71
515,2.88,2.79,11.88,0.71
516,2.88,2.79,11.88,0.71
517,2.88,2.79,11.88,0.71
518,2.88,2.79,11.88,0.71
