Region_description,Network_zones,CapRes_1
TX,z807,0.1375
TX,z808,0.1375
TX,z809,0.1375
TX,z810,0.1375
TX,z811,0.1375
TX,z812,0.1375
TX,z813,0.1375
TX,z814,0.1375
TX,z815,0.1375
TX,z816,0.1375
TX,z817,0.1375
TX,z818,0.1375
TX,z819,0.1375
TX,z820,0.1375
TX,z821,0.1375
TX,z822,0.1375
TX,z823,0.1375
TX,z824,0.1375
TX,z825,0.1375
TX,z826,0.1375
TX,z827,0.1375
TX,z828,0.1375
TX,z829,0.1375
TX,z830,0.1375
TX,z831,0.1375
TX,z832,0.1375
TX,z833,0.1375
TX,z834,0.1375
TX,z835,0.1375
TX,z836,0.1375
TX,z837,0.1375
TX,z838,0.1375
TX,z839,0.1375
TX,z840,0.1375
TX,z841,0.1375
TX,z842,0.1375
TX,z843,0.1375
TX,z844,0.1375
TX,z845,0.1375
TX,z846,0.1375
TX,z847,0.1375
TX,z848,0.1375
TX,z849,0.1375
TX,z850,0.1375
TX,z851,0.1375
TX,z852,0.1375
TX,z853,0.1375
TX,z854,0.1375
TX,z855,0.1375
TX,z856,0.1375
TX,z857,0.1375
TX,z858,0.1375
TX,z859,0.1375
TX,z860,0.1375
TX,z861,0.1375
TX,z862,0.1375
TX,z863,0.1375
TX,z864,0.1375
TX,z865,0.1375
TX,z866,0.1375
TX,z867,0.1375
TX,z868,0.1375
TX,z869,0.1375
TX,z870,0.1375
TX,z871,0.1375
TX,z872,0.1375
TX,z873,0.1375
TX,z874,0.1375
TX,z875,0.1375
TX,z876,0.1375
TX,z877,0.1375
TX,z878,0.1375
TX,z879,0.1375
TX,z880,0.1375
TX,z881,0.1375
TX,z882,0.1375
TX,z883,0.1375
TX,z884,0.1375
TX,z885,0.1375
TX,z886,0.1375
TX,z887,0.1375
TX,z888,0.1375
TX,z889,0.1375
TX,z890,0.1375
TX,z891,0.1375
TX,z892,0.1375
TX,z893,0.1375
TX,z894,0.1375
TX,z895,0.1375
TX,z896,0.1375
TX,z897,0.1375
TX,z898,0.1375
TX,z899,0.1375
TX,z900,0.1375
TX,z901,0.1375
TX,z902,0.1375
TX,z903,0.1375
TX,z904,0.1375
TX,z905,0.1375
TX,z906,0.1375
TX,z907,0.1375
TX,z908,0.1375
TX,z909,0.1375
TX,z910,0.1375
TX,z911,0.1375
TX,z912,0.1375
TX,z913,0.1375
TX,z914,0.1375
TX,z915,0.1375
TX,z916,0.1375
TX,z917,0.1375
TX,z918,0.1375
TX,z919,0.1375
TX,z920,0.1375
TX,z921,0.1375
TX,z922,0.1375
TX,z923,0.1375
TX,z924,0.1375
TX,z925,0.1375
TX,z926,0.1375
TX,z927,0.1375
TX,z928,0.1375
TX,z929,0.1375
TX,z930,0.1375
TX,z931,0.1375
TX,z932,0.1375
TX,z933,0.1375
TX,z934,0.1375
TX,z935,0.1375
TX,z936,0.1375
TX,z937,0.1375
TX,z938,0.1375
TX,z939,0.1375
TX,z940,0.1375
TX,z941,0.1375
TX,z942,0.1375
TX,z943,0.1375
TX,z944,0.1375
TX,z945,0.1375
TX,z946,0.1375
TX,z947,0.1375
TX,z948,0.1375
TX,z949,0.1375
TX,z950,0.1375
TX,z951,0.1375
TX,z952,0.1375
TX,z953,0.1375
TX,z954,0.1375
TX,z955,0.1375
TX,z956,0.1375
TX,z957,0.1375
TX,z958,0.1375
TX,z959,0.1375
TX,z960,0.1375
TX,z961,0.1375
TX,z962,0.1375
TX,z963,0.1375
TX,z964,0.1375
TX,z965,0.1375
TX,z966,0.1375
TX,z967,0.1375
TX,z968,0.1375
TX,z969,0.1375
TX,z970,0.1375
TX,z971,0.1375
TX,z972,0.1375
TX,z973,0.1375
TX,z974,0.1375
TX,z975,0.1375
TX,z976,0.1375
TX,z977,0.1375
TX,z978,0.1375
TX,z979,0.1375
TX,z980,0.1375
TX,z981,0.1375
TX,z982,0.1375
TX,z983,0.1375
TX,z984,0.1375
TX,z985,0.1375
TX,z986,0.1375
TX,z987,0.1375
TX,z988,0.1375
TX,z989,0.1375
TX,z990,0.1375
TX,z991,0.1375
TX,z992,0.1375
TX,z993,0.1375
TX,z994,0.1375
TX,z995,0.1375
TX,z996,0.1375
TX,z997,0.1375
TX,z998,0.1375
TX,z999,0.1375
TX,z1000,0.1375
TX,z1001,0.1375
TX,z1002,0.1375
TX,z1003,0.1375
TX,z1004,0.1375
TX,z1005,0.1375
TX,z1006,0.1375
TX,z1007,0.1375
TX,z1008,0.1375
TX,z1009,0.1375
TX,z1010,0.1375
TX,z1011,0.1375
TX,z1012,0.1375
TX,z1013,0.1375
TX,z1014,0.1375
TX,z1015,0.1375
TX,z1016,0.1375
TX,z1017,0.1375
TX,z1018,0.1375
TX,z1019,0.1375
TX,z1020,0.1375
TX,z1021,0.1375
TX,z1022,0.1375
TX,z1023,0.1375
TX,z1024,0.1375
TX,z1025,0.1375
TX,z1026,0.1375
TX,z1027,0.1375
TX,z1028,0.1375
TX,z1029,0.1375
TX,z1030,0.1375
TX,z1031,0.1375
TX,z1032,0.1375
TX,z1033,0.1375
TX,z1034,0.1375
TX,z1035,0.1375
TX,z1036,0.1375
TX,z1037,0.1375
TX,z1038,0.1375
TX,z1039,0.1375
TX,z1040,0.1375
TX,z1041,0.1375
TX,z1042,0.1375
TX,z1043,0.1375
TX,z1044,0.1375
TX,z1045,0.1375
TX,z1046,0.1375
TX,z1047,0.1375
TX,z1048,0.1375
TX,z1049,0.1375
TX,z1050,0.1375
TX,z1051,0.1375
TX,z1052,0.1375
TX,z1053,0.1375
TX,z1054,0.1375
TX,z1055,0.1375
TX,z1056,0.1375
TX,z1057,0.1375
TX,z1058,0.1375
TX,z1059,0.1375
TX,z1060,0.1375
TX,z1061,0.1375
TX,z1062,0.1375
TX,z1063,0.1375
TX,z1064,0.1375
TX,z1065,0.1375
TX,z1066,0.1375
TX,z1067,0.1375
